,produt_name,original_price,size
0,Big,$14.00, 4 oz.
1,Revive,$27.00, 3.5 oz.
2,Fairly Traded Honey,$15.00, 3.3 fl. oz.
3,Candy Rain,$13.00, 3.3 fl. oz.
4,Curl Power,$17.00, 3.3 oz.
5,American Cream,$12.00, 3.3 fl. oz.
6,Super Milk,$21.00, 3.3 fl. oz.
7,Honey I Washed My Hair,$13.50, 1.9 oz.
8,Veganese,$12.00, 3.5 oz.
9,Seanik,$13.50, 1.9 oz.
10,Wasabi Shan Kui,$15.00, 3.3 fl. oz.
11,Jumping Juniper,$13.50, 1.9 oz.
12,Godiva,$14.50, 1.9 oz.
13,Power,$14.00, 3.3 oz.
14,Happy Happy Joy Joy,$16.00, 3.3 fl. oz.
15,Glory,$14.00, 3.3 oz.
16,Soak and Float,$15.50, 1.9 oz.
17,Jasmine And Henna,$28.00, 7.8 oz.
18,New,$14.50, 1.9 oz.
19,Montalbano,$13.50, 1.9 oz.
20,Daddy-O,$12.00, 3.3 fl. Oz.
21,Jason And The Argan Oil,$13.50, 1.9 oz.
22,Dirty,$19.00, 3.5 oz.
23,Roots,$25.00, 7.9 oz.
24,Retread,$18.00, 3.5 fl. oz.
25,American Cream,$15.00, 1.9 oz.
26,H'Suan Wen Hua,$25.00, 8 oz.
27,Sea Spray,$19.00, 3.3 fl. oz.
28,No Drought,$19.00, 4.05 oz.
29,Big,$15.00, 2.4 oz.
30,Coconut Rice Cake,$14.50, 1.9 oz.
31,Flyway Hair,$14.50, 1.9 oz.
32,Angel Hair,$14.50, 1.9 oz.
33,Avocado,$18.50, 3.5 oz.
34,Renee´s Shea Souffle,$17.00, 3.1 oz.
35,Superbalm,$27.00, 1.5 oz.
36,Marilyn,$25.00, 7.9 oz.
37,Round Tin,$4.50, 0.35 oz.
38,The Golden Cap,$15.00, 2.2 oz.
39,Cork Pot,$19.95, 1.05 oz.
40,Infra Wig,$19.00, 3.5 oz.
41,H.O.T.,$13.00, 0.7 oz.
42,Wig,$19.00, 3.5 oz.
43,Tint Brush,$10.00, 0.78 oz.
